@attribute a {0,1}
@attribute aber {0,1}
@attribute ability {0,1}
@attribute absolutely {0,1}
@attribute abstract {0,1}
@attribute academic {0,1}
@attribute accept {0,1}
@attribute accepted {0,1}
@attribute access {0,1}
@attribute accessible {0,1}
@attribute account {0,1}
@attribute accounts {0,1}
@attribute achieve {0,1}
@attribute act {0,1}
@attribute action {0,1}
@attribute actions {0,1}
@attribute active {0,1}
@attribute activities {0,1}
@attribute activity {0,1}
@attribute actual {0,1}
@attribute add {0,1}
@attribute added {0,1}
@attribute adding {0,1}
@attribute addition {0,1}
@attribute additional {0,1}
@attribute address {0,1}
@attribute addresses {0,1}
@attribute adds {0,1}
@attribute administration {0,1}
@attribute adobe {0,1}
@attribute ads {0,1}
@attribute advance {0,1}
@attribute advanced {0,1}
@attribute advantage {0,1}
@attribute advertise {0,1}
@attribute advertisement {0,1}
@attribute advertising {0,1}
@attribute advice {0,1}
@attribute africa {0,1}
@attribute age {0,1}
@attribute agent {0,1}
@attribute ago {0,1}
@attribute agree {0,1}
@attribute agreement {0,1}
@attribute ahead {0,1}
@attribute aim {0,1}
@attribute air {0,1}
@attribute ais {0,1}
@attribute ajax {0,1}
@attribute aktuelle {0,1}
@attribute alap {0,1}
@attribute album {0,1}
@attribute alert {0,1}
@attribute alerts {0,1}
@attribute alle {0,1}
@attribute allen {0,1}
@attribute alles {0,1}
@attribute allowed {0,1}
@attribute allowing {0,1}
@attribute als {0,1}
@attribute alternative {0,1}
@attribute amazing {0,1}
@attribute amazon {0,1}
@attribute america {0,1}
@attribute american {0,1}
@attribute amount {0,1}
@attribute analysis {0,1}
@attribute and {0,1}
@attribute andere {0,1}
@attribute anderen {0,1}
@attribute andrew {0,1}
@attribute animals {0,1}
@attribute animation {0,1}
@attribute announced {0,1}
@attribute annual {0,1}
@attribute anonymous {0,1}
@attribute answer {0,1}
@attribute answers {0,1}
@attribute anti {0,1}
@attribute apache {0,1}
@attribute api {0,1}
@attribute apis {0,1}
@attribute app {0,1}
@attribute appears {0,1}
@attribute apple {0,1}
@attribute application {0,1}
@attribute applications {0,1}
@attribute applied {0,1}
@attribute apply {0,1}
@attribute approach {0,1}
@attribute approaches {0,1}
@attribute apps {0,1}
@attribute apr {0,1}
@attribute april {0,1}
@attribute architecture {0,1}
@attribute archiv {0,1}
@attribute archive {0,1}
@attribute archives {0,1}
@attribute area {0,1}
@attribute areas {0,1}
@attribute aren {0,1}
@attribute argument {0,1}
@attribute art {0,1}
@attribute article {0,1}
@attribute articles {0,1}
@attribute artikel {0,1}
@attribute artists {0,1}
@attribute arts {0,1}
@attribute asked {0,1}
@attribute asp {0,1}
@attribute aspect {0,1}
@attribute aspects {0,1}
@attribute association {0,1}
@attribute assume {0,1}
@attribute atom {0,1}
@attribute attempt {0,1}
@attribute attention {0,1}
@attribute auch {0,1}
@attribute audience {0,1}
@attribute audio {0,1}
@attribute auf {0,1}
@attribute aug {0,1}
@attribute august {0,1}
@attribute aus {0,1}
@attribute australia {0,1}
@attribute aut {0,1}
@attribute author {0,1}
@attribute authors {0,1}
@attribute auto {0,1}
@attribute automatic {0,1}
@attribute automatically {0,1}
@attribute autoplaying {0,1}
@attribute average {0,1}
@attribute avoid {0,1}
@attribute award {0,1}
@attribute awards {0,1}
@attribute aware {0,1}
@attribute baby {0,1}
@attribute back {0,1}
@attribute background {0,1}
@attribute bad {0,1}
@attribute ban {0,1}
@attribute band {0,1}
@attribute bank {0,1}
@attribute bar {0,1}
@attribute base {0,1}
@attribute based {0,1}
@attribute basic {0,1}
@attribute basically {0,1}
@attribute basis {0,1}
@attribute beat {0,1}
@attribute beautiful {0,1}
@attribute began {0,1}
@attribute begin {0,1}
@attribute beginning {0,1}
@attribute behavior {0,1}
@attribute bei {0,1}
@attribute beim {0,1}
@attribute beispiel {0,1}
@attribute ben {0,1}
@attribute benefit {0,1}
@attribute benefits {0,1}
@attribute ber {0,1}
@attribute bereits {0,1}
@attribute berlin {0,1}
@attribute beta {0,1}
@attribute bev {0,1}
@attribute big {0,1}
@attribute biggest {0,1}
@attribute bill {0,1}
@attribute bin {0,1}
@attribute bis {0,1}
@attribute bit {0,1}
@attribute bitte {0,1}
@attribute black {0,1}
@attribute block {0,1}
@attribute blog {0,1}
@attribute blogger {0,1}
@attribute blogging {0,1}
@attribute blogs {0,1}
@attribute blue {0,1}
@attribute board {0,1}
@attribute bob {0,1}
@attribute body {0,1}
@attribute book {0,1}
@attribute bookmark {0,1}
@attribute bookmarks {0,1}
@attribute books {0,1}
@attribute bottom {0,1}
@attribute bought {0,1}
@attribute box {0,1}
@attribute boy {0,1}
@attribute brain {0,1}
@attribute brand {0,1}
@attribute break {0,1}
@attribute breaking {0,1}
@attribute bring {0,1}
@attribute brings {0,1}
@attribute british {0,1}
@attribute broadcast {0,1}
@attribute broken {0,1}
@attribute brought {0,1}
@attribute brown {0,1}
@attribute browse {0,1}
@attribute browser {0,1}
@attribute browsers {0,1}
@attribute browsing {0,1}
@attribute bug {0,1}
